date,city,sales,State Sales Tax,Local Sales Tax,City Sales Tax,Salt Lake City Sales TAx,Mass Transit Tax,Transportation Tax,Salt Lake City Sales Tax,State Sales Tax Change,Local Sales Tax Change,City Sales Tax Change,Salt Lake City Sales Tax Change,Mass Transit Tax Change,Transportation Tax Change,Total Sales Change
1999-01,North Salt Lake,5635586.54,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97234491.91
1999-01,Salt Lake City,265359550.4,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,256372884.44
1999-01,South Salt Lake,75513750.0,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48832049.730000004
1999-01,Taylorsville,35711041.5,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54548238.72
1999-01,West Valley City,80904446.47999999,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72235263.08999999
1999-01,Woods Cross,6031772.620000001,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,-335846720.7999999
1999-02,Bountiful,23791251.27,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57071952.85000001
1999-02,Murray,134004727.95,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82410998.25
1999-02,North Salt Lake,6664105.91,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92019053.53999999
1999-02,Salt Lake City,283859540.23,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,272603538.6
1999-02,South Salt Lake,82854177.77,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60007018.47
1999-02,Taylorsville,31168228.61,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54105636.59
1999-02,West Valley City,85530383.82,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79894797.27999999
1999-02,Woods Cross,9617960.75,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,-255741589.65
1999-03,Bountiful,23547508.22,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51966241.78
1999-03,Murray,100469895.78,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64758854.28
1999-03,North Salt Lake,7921930.359999999,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72982516.11999999
1999-03,Salt Lake City,310734140.49,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,304702367.87
1999-03,South Salt Lake,92745722.13999999,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68954470.86999999
1999-03,Taylorsville,37114142.2,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96890585.75
1999-03,West Valley City,95670090.25,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89005984.34
1999-03,Woods Cross,11766929.719999999,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,-272092610.51
1999-04,Bountiful,24569313.77,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58284864.0
1999-04,Murray,95823753.02,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64655524.41
1999-04,North Salt Lake,8306853.9399999995,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77223529.88
1999-04,Salt Lake City,297008715.1,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,287390754.35
1999-04,South Salt Lake,92633339.67000002,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69085831.45000002
1999-04,Taylorsville,35857661.81,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64612233.97
1999-04,West Valley City,98682269.42,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90760339.06
1999-04,Woods Cross,11056774.55,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,-299677365.94
1999-05,Bountiful,26309959.75,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66435762.389999986
1999-05,Murray,96924239.35,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59810097.14999999
1999-05,North Salt Lake,8558388.68,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87111701.57
1999-05,Salt Lake City,284965798.5375863,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,273198868.8175863
1999-05,South Salt Lake,93702782.79,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69133469.02000001
1999-05,Taylorsville,37415567.81,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58408185.20999999
1999-05,West Valley City,93848302.06,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85541448.12
1999-05,Woods Cross,11647420.780000001,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,-285361294.32000005
1999-06,Bountiful,24390027.6,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68243312.07000002
1999-06,Holladay,-1000.0,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35858661.81
1999-06,Murray,111704362.58,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13022093.159999996
1999-06,North Salt Lake,7361719.96,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3695054.590000001
1999-06,Salt Lake City,302374590.07,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,276064630.32
1999-06,South Salt Lake,108419091.4600001,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11494852.110000104
1999-06,Taylorsville,35738528.91,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27180140.229999997
1999-06,West Valley City,99026826.92,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,-185938971.61758626
1999-06,Woods Cross,12344384.03,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81358398.76
1999-07,Bountiful,25160612.17,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12254955.64
1999-07,Murray,106879696.89000002,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13031394.830000013
1999-07,North Salt Lake,10409338.440000001,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1238082.3399999999
1999-07,Salt Lake City,320207000.21,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,295816972.60999995
1999-07,South Salt Lake,111151785.28999999,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111152785.28999999
1999-07,Taylorsville,37284785.29,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74419577.28999999
1999-07,West Valley City,100986949.27,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93625229.31
1999-07,Woods Cross,14539907.72,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,-287834682.34999996
1999-08,Bountiful,27911658.459999997,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80507433.0000001
1999-08,Murray,107244782.2,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71506253.29
